datetime,index,sv,rv
2010-12-06,DAX,0.9839305196214804,0.0071203932475671595
2010-12-06,DJIA,0.93815801787469,0.0041109609582188926
2010-12-06,FTSE 100,0.9624245990878328,0.007155417527999326
2010-12-07,CAC 40,1.1299100489674259,0.011718446996082715
2010-12-07,DAX,1.34785002687874,0.006228964600958975
2010-12-07,DJIA,0.9823066304805578,0.008961026726887941
2010-12-07,FTSE 100,0.9503942915992348,0.007893034904268447
2010-12-08,CAC 40,1.353102157405436,0.009066421565314509
2010-12-08,DAX,1.0243660204278426,0.0071972216861786315
2010-12-08,DJIA,0.9271208647232232,0.004266145801540308
2010-12-08,FTSE 100,0.9383639841106368,0.0077524189773257235
2010-12-09,CAC 40,0.9904149811936696,0.007409453421137082
2010-12-09,DAX,1.1052370220405672,0.007190271204899019
2010-12-09,DJIA,0.8388236395114874,0.004347413023856831
2010-12-09,FTSE 100,0.8421215242018536,0.008660254037844388
2010-12-10,CAC 40,1.1857080760769283,0.004701063709417264
2010-12-10,DAX,1.0243660204278426,0.0043243496620879295
2010-12-10,DJIA,0.9602323241776238,0.0028618176042508373
2010-12-10,FTSE 100,0.8421215242018536,0.00462601340248815
2010-12-13,CAC 40,1.1299100489674259,0.006041522986797286
2010-12-13,DAX,1.118715522309354,0.003768288736283353
2010-12-13,DJIA,0.8498607926629546,0.00372827037646145
2010-12-13,FTSE 100,1.0466367515080182,0.005522680508593629
2010-12-14,CAC 40,1.353102157405436,0.005099019513592785
2010-12-14,DAX,1.1321940225781415,0.003038091506192662
2010-12-14,DJIA,0.9602323241776238,0.004615192303685732
2010-12-14,FTSE 100,1.0466367515080182,0.004024922359499621
2010-12-15,CAC 40,1.353102157405436,0.0061237243569579455
2010-12-15,DAX,1.0917585217717791,0.0061644140029689775
2010-12-15,DJIA,0.9933437836320248,0.0041109609582188926
2010-12-15,FTSE 100,0.9864852140650286,0.005665686189686118
2010-12-16,CAC 40,1.241506103186431,0.007739509028355739
2010-12-16,DAX,0.943495018815118,0.005
2010-12-16,DJIA,1.0043809367834915,0.005639148871948674
2010-12-16,FTSE 100,0.926333676622039,0.0060166435825965295
2010-12-17,CAC 40,1.0043644879710454,0.006737952211169206
2010-12-17,DAX,0.9300165185463306,0.0066105975524153645
2010-12-17,DJIA,0.8277864863600206,0.0028565713714171397
2010-12-17,FTSE 100,0.7097881418272767,0.0064575537163851756
2010-12-20,CAC 40,1.0183139947484208,0.006640783086353597
